Word,Mean_Burstiness,Mean_Frequency,Log_Mean_Frequency,Lexical_Class,WordBank
I,0.4826802210296376,877.2,6.776735016543733,Function,0.43
TV,-0.4095153072282608,4.0,1.3862943611198906,Noun,0.63
a,0.4404817162512507,557.4,6.323283115047848,Function,0.29
about,0.12524434963176811,46.8,3.845883202923601,Function,0.06
above,-0.0776359530031965,3.0,1.0986122886681098,Function,0.07
after,0.2502696926850258,19.4,2.9652730660692823,Function,0.17
airplane,-0.009466870033947028,6.5,1.8718021769015913,Noun,0.72
all,0.3055160461527802,132.4,4.885827643502908,Function,0.32
am,0.2562766828929478,16.8,2.8213788864092133,Verb,0.17
an,0.16812171307903617,21.6,3.0726933146901194,Function,0.04
and,0.42833471292972913,402.0,5.996452088619021,Function,0.28
animal,0.4047849449195759,7.666666666666667,2.03688192726104,Noun,0.49
another,0.24833882218301132,18.0,2.8903717578961645,Function,0.22
any,0.2598126083286335,23.6,3.1612467120315646,Function,0.12
applesauce,0.6451819730474376,5.0,1.6094379124341003,Noun,0.43
are,0.32620962678608445,232.0,5.44673737166631,Verb,0.14
arm,0.3520557836454856,4.75,1.55814461804655,Noun,0.67
around,0.15873347892533132,17.0,2.833213344056216,Function,0.13
asleep,0.40427535093862305,4.8,1.5686159179138452,Adjective,0.46
at,0.3479783803902541,100.2,4.607168188650764,Function,0.19
aunt,0.1641919438546414,3.5,1.252762968495368,Noun,0.42
awake,0.21420545244943714,8.5,2.1400661634962708,Adjective,0.35
away,0.25455929895105245,24.4,3.1945831322991562,Function,0.29
baby,0.4380327788559068,41.2,3.7184382563554808,Noun,0.87
babysitter,0.6753190863580938,4.0,1.3862943611198906,Noun,0.11
back,0.25932988305806237,73.2,4.293195420967266,Function,0.34
bad,0.3509898891838838,13.0,2.5649493574615367,Adjective,0.4
ball,0.6229929030485316,23.0,3.1354942159291497,Noun,0.95
banana,0.07607593867041995,3.3333333333333335,1.2039728043259361,Noun,0.88
basket,0.028104144356296656,5.5,1.7047480922384253,Noun,0.38
bathroom,0.4317891340887705,7.5,2.0149030205422647,Noun,0.54
bathtub,-0.2444856999348466,3.0,1.0986122886681098,Noun,0.59
be,0.28594158160793237,122.6,4.808927023502111,Verb,0.12
beach,0.35212133309490795,21.0,3.044522437723423,Noun,0.32
beans,0.5324955576832061,4.0,1.3862943611198906,Noun,0.44
bear,-0.5635838528916008,3.0,1.0986122886681098,Noun,0.73
because,0.24312158813348095,32.0,3.4657359027997265,Function,0.1
bed,0.3402079849393931,20.0,2.995732273553991,Noun,0.73
bedroom,-0.0773677132560971,4.0,1.3862943611198906,Noun,0.42
bee,0.6366136540500129,6.0,1.791759469228055,Noun,0.66
before,0.09768458602810533,15.0,2.70805020110221,Function,0.08
behind,0.017477114275500874,5.75,1.749199854809259,Function,0.17
bench,0.09451715341223249,4.0,1.3862943611198906,Noun,0.14
better,0.2712398704990603,15.2,2.7212954278522306,Adjective,0.27
bib,0.6829771283887286,4.0,1.3862943611198906,Noun,0.49
big,0.2766895265647708,28.6,3.353406717825807,Adjective,0.61
bird,0.10773030341250091,4.0,1.3862943611198906,Noun,0.79
bite,0.08226079292452848,9.5,2.2512917986064953,Verb,0.56
black,0.4558027460878973,4.5,1.5040773967762742,Adjective,0.39
blanket,0.5889869322099827,16.5,2.803360380906535,Noun,0.71
blow,0.42621515769007595,8.0,2.0794415416798357,Verb,0.48
blue,0.4934683554353114,12.25,2.505525936990736,Adjective,0.61
boat,0.5142818670081551,17.0,2.833213344056216,Noun,0.68
book,0.5074763201961184,20.8,3.0349529867072724,Noun,0.87
boots,0.5742053173579104,14.0,2.6390573296152584,Noun,0.66
bottle,0.2112486556404279,11.5,2.4423470353692043,Noun,0.65
bowl,0.4908530894427357,5.0,1.6094379124341003,Noun,0.62
box,0.596694460951239,15.5,2.740840023925201,Noun,0.59
boy,0.3024232546124448,9.0,2.1972245773362196,Noun,0.49
bread,0.6354089706777865,22.0,3.091042453358316,Noun,0.63
break,0.5810385345915318,13.666666666666666,2.614959778036198,Verb,0.42
bring,0.344376442322118,18.4,2.91235066461494,Verb,0.32
broken,0.6640149789388868,5.0,1.6094379124341003,Adjective,0.54
brother,0.6481122764058366,6.0,1.791759469228055,Noun,0.31
brown,0.39578694819774773,4.0,1.3862943611198906,Adjective,0.34
brush,0.4665990176604461,8.0,2.0794415416798357,Noun,0.6
bubbles,-0.22647556251340892,3.0,1.0986122886681098,Noun,0.82
bucket,0.8646871864287977,9.0,2.1972245773362196,Noun,0.37
build,0.9041670193285745,13.0,2.5649493574615367,Verb,0.29
bump,0.2604979346343027,3.0,1.0986122886681098,Verb,0.34
bunny,0.21538332840977933,5.5,1.7047480922384253,Noun,0.69
but,0.3018925299917087,151.2,5.018603463745433,Function,0.07
butter,0.08943498357548485,5.0,1.6094379124341003,Noun,0.42
butterfly,-0.040003204028449015,4.0,1.3862943611198906,Noun,0.58
button,0.456974733752768,11.5,2.4423470353692043,Noun,0.53
buy,0.4385862422887493,12.0,2.4849066497880004,Verb,0.22
by,0.14885720011482237,24.8,3.2108436531709366,Function,0.16
cake,0.6826822158349667,15.0,2.70805020110221,Noun,0.7
camera,0.8001745254912099,6.0,1.791759469228055,Noun,0.35
camping,0.8635558311032472,8.0,2.0794415416798357,Noun,0.1
can,0.3988657246147397,269.8,5.597680943773655,Verb,0.22
candy,-0.5705317950542489,4.0,1.3862943611198906,Noun,0.52
car,0.5484323232817857,24.6,3.202746442938317,Noun,0.88
careful,0.28284265112237456,10.6,2.3608540011180215,Adjective,0.32
carrots,0.7130544748667188,25.0,3.2188758248682006,Noun,0.52
carry,0.43121909008158477,6.25,1.8325814637483102,Verb,0.39
cat,-0.5638814835160113,4.5,1.5040773967762742,Noun,0.82
catch,0.8175373951387901,6.5,1.8718021769015913,Verb,0.38
cereal,0.2266039641605551,5.0,1.6094379124341003,Noun,0.6
chair,-0.20946212749513649,8.666666666666666,2.159484249353372,Noun,0.71
chase,0.21800570923567947,4.0,1.3862943611198906,Verb,0.27
cheese,0.4007413082914205,16.75,2.8183982582710754,Noun,0.83
chicken,0.6324252801202991,15.0,2.70805020110221,Noun,0.58
child,-0.2848918214296737,3.0,1.0986122886681098,Noun,0.15
chocolate,0.2361310722802243,8.0,2.0794415416798357,Noun,0.48
clap,0.8018152574913788,12.333333333333334,2.512305623976115,Verb,0.52
clean,0.4761302189894455,38.0,3.6375861597263857,Adjective,0.51
climb,0.12821082214954327,7.333333333333333,1.992430164690206,Verb,0.39
clock,0.3464767285124536,18.0,2.8903717578961645,Noun,0.48
close,0.29047783004153993,11.2,2.4159137783010487,Verb,0.48
closet,0.43880391843493693,8.5,2.1400661634962708,Noun,0.32
coffee,0.618649631642829,8.5,2.1400661634962708,Noun,0.48
cold,0.3461255859546572,14.6,2.681021528714291,Adjective,0.68
comb,0.5002017998654562,7.5,2.0149030205422647,Noun,0.39
cook,0.569545253440834,4.333333333333333,1.466337068793427,Verb,0.41
cookie,0.01887141558551407,8.0,2.0794415416798357,Noun,0.81
corn,0.3061179620594693,5.0,1.6094379124341003,Noun,0.46
couch,0.6114187986787301,12.5,2.5257286443082556,Noun,0.48
could,0.21476391313901147,47.4,3.858622228701031,Verb,0.04
country,0.36944587846795973,7.0,1.9459101490553132,Noun,0.04
cover,0.4324790316228333,5.5,1.7047480922384253,Verb,0.21
cow,0.27278556143629695,3.0,1.0986122886681098,Noun,0.74
crib,0.1469902046838776,4.5,1.5040773967762742,Noun,0.37
cry,0.11187544548394131,4.0,1.3862943611198906,Verb,0.52
cup,0.4026711411293489,12.75,2.545531271604435,Noun,0.73
cut,0.26689949496541016,8.666666666666666,2.159484249353372,Verb,0.31
cute,-0.30779319032641683,4.0,1.3862943611198906,Adjective,0.31
daddy,0.029737993017001696,8.25,2.1102132003465894,Noun,0.95
dance,0.575906454150831,22.75,3.1245651453969594,Verb,0.53
dark,0.7093874606252146,12.0,2.4849066497880004,Adjective,0.38
day,0.27364395913702444,24.4,3.1945831322991562,Noun,0.22
diaper,0.5623804866936195,19.0,2.9444389791664403,Noun,0.73
dirty,0.5639784333520288,8.0,2.0794415416798357,Adjective,0.59
do,0.3583284424733524,262.2,5.569107571329599,Verb,0.43
does,0.1871756010517795,32.6,3.484312288372662,Verb,0.09
dog,0.4720224630309136,4.0,1.3862943611198906,Noun,0.88
doll,0.6582876610920196,4.0,1.3862943611198906,Noun,0.5
don't,0.33200106331834994,204.4,5.320078858329549,Verb,0.33
door,0.23646638232411915,13.6,2.6100697927420065,Noun,0.71
down,0.2954955636032194,92.8,4.530446639792155,Function,0.67
draw,0.5529029679652676,3.5,1.252762968495368,Verb,0.39
drawer,0.8050078745355764,5.5,1.7047480922384253,Noun,0.27
dress,-0.012727697063352427,4.0,1.3862943611198906,Noun,0.41
drink,0.32253213178399764,8.2,2.1041341542702074,Verb,0.61
drive,0.08084949734596107,10.333333333333334,2.3353749158170367,Verb,0.4
drop,0.2038037399801358,7.0,1.9459101490553132,Verb,0.35
dry,0.24978867668048207,10.333333333333334,2.3353749158170367,Adjective,0.32
duck,0.6166244155556759,12.75,2.545531271604435,Noun,0.79
dump,0.3620037818877411,4.0,1.3862943611198906,Verb,0.21
each,0.33872997415536193,4.333333333333333,1.466337068793427,Function,0.05
ear,0.2742991563886769,5.666666666666667,1.7346010553881064,Noun,0.82
eat,0.5683540912237528,55.2,4.01096295328305,Verb,0.73
egg,0.4696564859536576,6.5,1.8718021769015913,Noun,0.64
elephant,-0.05123324612404029,5.0,1.6094379124341003,Noun,0.63
empty,0.07850183428399674,6.5,1.8718021769015913,Adjective,0.36
every,0.23573683733699263,9.6,2.2617630984737906,Function,0.08
eye,0.5961578509718262,6.666666666666667,1.8971199848858813,Noun,0.87
face,0.24780533975360447,14.4,2.667228206581955,Noun,0.53
fall,0.024684934240818694,7.4,2.0014800002101243,Verb,0.55
fast,0.21244889297109065,8.2,2.1041341542702074,Adjective,0.4
feed,0.11876271746375053,5.0,1.6094379124341003,Verb,0.28
find,0.1714431643655252,24.0,3.1780538303479458,Verb,0.37
fine,0.3059759667897322,17.0,2.833213344056216,Adjective,0.14
finger,-0.09175834239296385,3.25,1.1786549963416462,Noun,0.65
finish,0.21533280037542196,9.0,2.1972245773362196,Verb,0.27
first,0.23266622761333985,24.4,3.1945831322991562,Adjective,0.17
fish,0.8096383827458239,11.333333333333334,2.4277482359480516,Noun,0.53
fit,-0.13475559520898883,6.75,1.9095425048844386,Verb,0.21
fix,0.4470304875536689,10.0,2.302585092994046,Verb,0.41
flower,0.6912912882741927,4.0,1.3862943611198906,Noun,0.69
food,0.49996360906121373,26.2,3.265759410767051,Noun,0.54
foot,0.4896276277888293,6.2,1.824549292051046,Noun,0.72
for,0.2958004325838997,181.6,5.201806466167193,Function,0.15
fork,0.8084454652484284,6.0,1.791759469228055,Noun,0.66
friend,0.23593591525409102,10.0,2.302585092994046,Noun,0.33
frog,0.6601083799624382,4.0,1.3862943611198906,Noun,0.63
full,0.2196701763985418,7.2,1.9740810260220096,Adjective,0.27
game,0.3326405926519106,12.2,2.501435951739211,Noun,0.32
garage,0.5346291110729089,13.5,2.6026896854443837,Noun,0.28
garbage,0.3707285088216824,10.25,2.327277705584417,Noun,0.45
gentle,0.42121574816112367,5.8,1.7578579175523736,Adjective,0.32
get,0.35174873077156793,218.0,5.384495062789089,Verb,0.46
giraffe,0.019653505893966652,6.0,1.791759469228055,Noun,0.52
girl,0.28722797765624863,19.4,2.9652730660692823,Noun,0.44
give,0.31946344010644523,30.6,3.4210000089583352,Verb,0.37
glass,0.30703210153695365,8.0,2.0794415416798357,Noun,0.36
glasses,0.31354347565700047,8.5,2.1400661634962708,Noun,0.51
gloves,0.3758561806895935,8.5,2.1400661634962708,Noun,0.34
glue,0.7365437332415791,17.0,2.833213344056216,Noun,0.14
go,0.39480215772589966,253.0,5.53338948872752,Verb,0.75
good,0.2866007468308457,110.6,4.7059200890882344,Adjective,0.47
goose,0.3627571441770332,7.0,1.9459101490553132,Noun,0.29
grass,0.8985188849165197,9.0,2.1972245773362196,Noun,0.52
green,0.4377202204722839,7.0,1.9459101490553132,Adjective,0.49
hair,0.4661930921873677,17.2,2.8449093838194073,Noun,0.75
hand,0.27817967247139685,17.8,2.8791984572980396,Noun,0.71
happy,0.28403448962546146,8.0,2.0794415416798357,Adjective,0.5
hard,0.09147195131819301,10.6,2.3608540011180215,Adjective,0.24
hat,0.7475289927080264,10.0,2.302585092994046,Noun,0.79
hate,-0.0018040664974390873,7.0,1.9459101490553132,Verb,0.04
have,0.38935654675740206,229.8,5.437209365414655,Verb,0.36
he,0.394324717235454,71.2,4.26549281841793,Function,0.2
head,0.1542227897691359,16.4,2.797281334830153,Noun,0.7
hear,0.04630075680335805,16.6,2.8094026953624978,Verb,0.3
heavy,0.16917668812355413,5.333333333333333,1.6739764335716716,Adjective,0.43
help,0.24496233499037615,24.2,3.186352633162641,Verb,0.6
her,0.40417585708501,149.4,5.006627272698717,Function,0.14
here,0.3201713916932752,204.6,5.321056853517526,Function,0.41
hers,0.15615485524630082,5.0,1.6094379124341003,Function,0.1
hide,0.631847011678578,4.0,1.3862943611198906,Verb,0.41
high,0.2774168772970526,8.666666666666666,2.159484249353372,Adjective,0.32
him,0.3293797730908418,24.4,3.1945831322991562,Function,0.12
his,0.39107890429161285,25.0,3.2188758248682006,Function,0.12
hit,-0.36160058710513626,4.0,1.3862943611198906,Verb,0.42
hold,0.17991743195686025,32.0,3.4657359027997265,Verb,0.4
home,0.34707751098654993,26.2,3.265759410767051,Noun,0.66
hot,0.5410289852945859,11.0,2.3978952727983707,Adjective,0.75
house,0.3439653842879038,22.2,3.100092288878234,Noun,0.57
how,0.2318195697534006,83.8,4.428433007488037,Function,0.13
hug,0.4991249553325298,11.5,2.4423470353692043,Verb,0.63
hungry,0.46120697472143357,5.25,1.6582280766035324,Adjective,0.46
hurt,0.23917972483018096,5.4,1.6863989535702288,Adjective,0.44
ice,0.5978313074946711,13.2,2.580216829592325,Noun,0.53
if,0.28459324649030276,102.6,4.630837932736669,Function,0.04
into,0.2687429760480721,18.4,2.91235066461494,Function,0.08
is,0.35810428432213304,306.8,5.726196069493101,Verb,0.2
it,0.4461498085874146,565.8,6.338240658867467,Function,0.3
jacket,0.5792235144815414,10.0,2.302585092994046,Noun,0.55
juice,0.45778900381018856,8.0,2.0794415416798357,Noun,0.77
jump,0.43695827963329115,7.666666666666667,2.03688192726104,Verb,0.59
keys,0.26571818066320807,5.5,1.7047480922384253,Noun,0.63
kick,0.33996081399879213,5.666666666666667,1.7346010553881064,Verb,0.45
kiss,0.5823856663078527,20.5,3.0204248861443626,Verb,0.67
kitchen,0.35524010857475197,5.0,1.6094379124341003,Noun,0.5
kitty,0.7383372698115214,14.0,2.6390573296152584,Noun,0.7
knee,0.33046132810087253,3.0,1.0986122886681098,Noun,0.59
knife,0.0263835309636,5.0,1.6094379124341003,Noun,0.41
knock,-0.4459409329995588,3.0,1.0986122886681098,Verb,0.37
